timestamp,dataset_type,model,experiment,k_per_class,accuracy,f1_weighted,f1_macro
2025-09-14T11:10:18,HF,KNN,few+aug,5,0.85,0.848994,0.848994
2025-09-14T11:10:19,Sig,KNN,few+aug,5,0.95,0.949495,0.949495
2025-09-14T11:10:22,HF,RandomForest,few,2,0.805556,0.803466,0.803466
2025-09-14T11:10:22,HF,RandomForest,few+aug,2,0.75,0.740643,0.740643
2025-09-14T11:10:24,HF,KNN,few,2,0.444444,0.296552,0.296552
2025-09-14T11:10:24,HF,KNN,few+aug,2,0.708333,0.685969,0.685969
2025-09-14T11:10:24,Sig,RandomForest,few,2,0.972222,0.972556,0.972556
2025-09-14T11:10:24,Sig,RandomForest,few+aug,2,0.986111,0.9861,0.9861
2025-09-14T11:10:24,Sig,KNN,few,2,0.305556,0.195172,0.195172
2025-09-14T11:10:24,Sig,KNN,few+aug,2,0.902778,0.904274,0.904274
2025-09-14T11:10:24,HF,RandomForest,few,3,0.897059,0.899199,0.899199
2025-09-14T11:10:24,HF,RandomForest,few+aug,3,0.852941,0.854054,0.854054
2025-09-14T11:10:25,HF,KNN,few,3,0.617647,0.536456,0.536456
2025-09-14T11:10:25,HF,KNN,few+aug,3,0.823529,0.821359,0.821359
2025-09-14T11:10:25,Sig,RandomForest,few,3,0.985294,0.985281,0.985281
2025-09-14T11:10:25,Sig,RandomForest,few+aug,3,0.985294,0.985281,0.985281
2025-09-14T11:10:25,Sig,KNN,few,3,0.794118,0.789583,0.789583
2025-09-14T11:10:25,Sig,KNN,few+aug,3,0.955882,0.956529,0.956529
2025-09-14T11:10:25,HF,RandomForest,few,4,0.9375,0.938296,0.938296
2025-09-14T11:10:25,HF,RandomForest,few+aug,4,0.921875,0.923425,0.923425
2025-09-14T11:10:25,HF,KNN,few,4,0.78125,0.775646,0.775646
2025-09-14T11:10:25,HF,KNN,few+aug,4,0.828125,0.822174,0.822174
2025-09-14T11:10:25,Sig,RandomForest,few,4,0.984375,0.98436,0.98436
2025-09-14T11:10:25,Sig,RandomForest,few+aug,4,0.96875,0.96875,0.96875
2025-09-14T11:10:25,Sig,KNN,few,4,0.890625,0.885128,0.885128
2025-09-14T11:10:25,Sig,KNN,few+aug,4,0.96875,0.969165,0.969165
2025-09-14T11:10:25,HF,RandomForest,few,5,0.916667,0.917723,0.917723
2025-09-14T11:10:25,HF,RandomForest,few+aug,5,0.916667,0.917723,0.917723
2025-09-14T11:10:25,HF,KNN,few,5,0.783333,0.777988,0.777988
2025-09-14T11:10:25,HF,KNN,few+aug,5,0.85,0.848994,0.848994
2025-09-14T11:10:25,Sig,RandomForest,few,5,0.983333,0.983315,0.983315
2025-09-14T11:10:25,Sig,RandomForest,few+aug,5,0.983333,0.983315,0.983315
2025-09-14T11:10:25,Sig,KNN,few,5,0.883333,0.881582,0.881582
2025-09-14T11:10:26,Sig,KNN,few+aug,5,0.95,0.949495,0.949495
2025-09-14T11:10:26,HF,RandomForest,few,6,0.982143,0.98212,0.98212
2025-09-14T11:10:26,HF,RandomForest,few+aug,6,0.964286,0.96424,0.96424
2025-09-14T11:10:26,HF,KNN,few,6,0.803571,0.797527,0.797527
2025-09-14T11:10:26,HF,KNN,few+aug,6,0.910714,0.909199,0.909199
2025-09-14T11:10:26,Sig,RandomForest,few,6,0.982143,0.98212,0.98212
2025-09-14T11:10:26,Sig,RandomForest,few+aug,6,0.982143,0.98212,0.98212
2025-09-14T11:10:26,Sig,KNN,few,6,0.910714,0.911195,0.911195
2025-09-14T11:10:26,Sig,KNN,few+aug,6,1.0,1.0,1.0
2025-09-14T11:10:26,HF,RandomForest,few,7,0.942308,0.94205,0.94205
2025-09-14T11:10:26,HF,RandomForest,few+aug,7,0.980769,0.980741,0.980741
2025-09-14T11:10:26,HF,KNN,few,7,0.865385,0.860134,0.860134
2025-09-14T11:10:26,HF,KNN,few+aug,7,0.903846,0.902066,0.902066
2025-09-14T11:10:26,Sig,RandomForest,few,7,1.0,1.0,1.0
2025-09-14T11:10:26,Sig,RandomForest,few+aug,7,1.0,1.0,1.0
2025-09-14T11:10:26,Sig,KNN,few,7,0.942308,0.943305,0.943305
2025-09-14T11:10:26,Sig,KNN,few+aug,7,1.0,1.0,1.0
2025-09-14T11:10:26,HF,RandomForest,few,8,0.9375,0.937172,0.937172
2025-09-14T11:10:27,HF,RandomForest,few+aug,8,0.916667,0.914955,0.914955
2025-09-14T11:10:27,HF,KNN,few,8,0.875,0.867663,0.867663
2025-09-14T11:10:27,HF,KNN,few+aug,8,0.895833,0.893712,0.893712
2025-09-14T11:10:27,Sig,RandomForest,few,8,1.0,1.0,1.0
2025-09-14T11:10:27,Sig,RandomForest,few+aug,8,1.0,1.0,1.0
2025-09-14T11:10:27,Sig,KNN,few,8,0.958333,0.958042,0.958042
2025-09-14T11:10:27,Sig,KNN,few+aug,8,1.0,1.0,1.0
2025-09-14T11:10:27,HF,RandomForest,few,9,0.954545,0.955357,0.955357
2025-09-14T11:10:27,HF,RandomForest,few+aug,9,0.954545,0.955357,0.955357
2025-09-14T11:10:27,HF,KNN,few,9,0.863636,0.854412,0.854412
2025-09-14T11:10:27,HF,KNN,few+aug,9,0.886364,0.883794,0.883794
2025-09-14T11:10:27,Sig,RandomForest,few,9,1.0,1.0,1.0
2025-09-14T11:10:27,Sig,RandomForest,few+aug,9,1.0,1.0,1.0
2025-09-14T11:10:27,Sig,KNN,few,9,0.954545,0.954167,0.954167
2025-09-14T11:10:27,Sig,KNN,few+aug,9,1.0,1.0,1.0
2025-09-14T11:10:27,HF,RandomForest,few,10,0.95,0.950957,0.950957
2025-09-14T11:10:27,HF,RandomForest,few+aug,10,0.95,0.950957,0.950957
2025-09-14T11:10:27,HF,KNN,few,10,0.875,0.867987,0.867987
2025-09-14T11:10:27,HF,KNN,few+aug,10,0.875,0.871825,0.871825
2025-09-14T11:10:28,Sig,RandomForest,few,10,1.0,1.0,1.0
2025-09-14T11:10:28,Sig,RandomForest,few+aug,10,1.0,1.0,1.0
2025-09-14T11:10:28,Sig,KNN,few,10,0.975,0.974937,0.974937
2025-09-14T11:10:28,Sig,KNN,few+aug,10,1.0,1.0,1.0
2025-09-14T11:10:28,HF,RandomForest,few,11,0.972222,0.972136,0.972136
2025-09-14T11:10:28,HF,RandomForest,few+aug,11,0.972222,0.972136,0.972136
2025-09-14T11:10:28,HF,KNN,few,11,0.888889,0.886422,0.886422
2025-09-14T11:10:28,HF,KNN,few+aug,11,0.888889,0.888545,0.888545
2025-09-14T11:10:28,Sig,RandomForest,few,11,1.0,1.0,1.0
2025-09-14T11:10:28,Sig,RandomForest,few+aug,11,1.0,1.0,1.0
2025-09-14T11:10:28,Sig,KNN,few,11,0.972222,0.972136,0.972136
2025-09-14T11:10:28,Sig,KNN,few+aug,11,1.0,1.0,1.0
2025-09-14T11:10:28,HF,RandomForest,few,12,0.96875,0.968627,0.968627
2025-09-14T11:10:28,HF,RandomForest,few+aug,12,0.9375,0.938889,0.938889
2025-09-14T11:10:28,HF,KNN,few,12,0.875,0.871461,0.871461
2025-09-14T11:10:28,HF,KNN,few+aug,12,0.875,0.87451,0.87451
2025-09-14T11:10:28,Sig,RandomForest,few,12,1.0,1.0,1.0
2025-09-14T11:10:29,Sig,RandomForest,few+aug,12,1.0,1.0,1.0
2025-09-14T11:10:29,Sig,KNN,few,12,1.0,1.0,1.0
2025-09-14T11:10:29,Sig,KNN,few+aug,12,1.0,1.0,1.0
2025-09-14T11:10:29,HF,RandomForest,few,13,0.964286,0.964103,0.964103
2025-09-14T11:10:29,HF,RandomForest,few+aug,13,0.964286,0.964103,0.964103
2025-09-14T11:10:29,HF,KNN,few,13,0.892857,0.892308,0.892308
2025-09-14T11:10:29,HF,KNN,few+aug,13,0.857143,0.85641,0.85641
2025-09-14T11:10:29,Sig,RandomForest,few,13,1.0,1.0,1.0
2025-09-14T11:10:29,Sig,RandomForest,few+aug,13,1.0,1.0,1.0
2025-09-14T11:10:29,Sig,KNN,few,13,1.0,1.0,1.0
2025-09-14T11:10:29,Sig,KNN,few+aug,13,1.0,1.0,1.0
2025-09-14T11:10:29,HF,RandomForest,few,14,0.958333,0.958042,0.958042
2025-09-14T11:10:29,HF,RandomForest,few+aug,14,0.958333,0.958042,0.958042
2025-09-14T11:10:29,HF,KNN,few,14,0.875,0.874126,0.874126
2025-09-14T11:10:29,HF,KNN,few+aug,14,0.833333,0.832168,0.832168
2025-09-14T11:10:29,Sig,RandomForest,few,14,1.0,1.0,1.0
2025-09-14T11:10:30,Sig,RandomForest,few+aug,14,1.0,1.0,1.0
2025-09-14T11:10:30,Sig,KNN,few,14,1.0,1.0,1.0
2025-09-14T11:10:30,Sig,KNN,few+aug,14,1.0,1.0,1.0
2025-09-14T11:10:30,HF,RandomForest,few,15,1.0,1.0,1.0
2025-09-14T11:10:30,HF,RandomForest,few+aug,15,1.0,1.0,1.0
2025-09-14T11:10:30,HF,KNN,few,15,0.85,0.848485,0.848485
2025-09-14T11:10:30,HF,KNN,few+aug,15,0.8,0.79798,0.79798
2025-09-14T11:10:30,Sig,RandomForest,few,15,1.0,1.0,1.0
2025-09-14T11:10:30,Sig,RandomForest,few+aug,15,1.0,1.0,1.0
2025-09-14T11:10:30,Sig,KNN,few,15,1.0,1.0,1.0
2025-09-14T11:10:30,Sig,KNN,few+aug,15,1.0,1.0,1.0
2025-09-14T11:10:30,HF,RandomForest,few,16,1.0,1.0,1.0
2025-09-14T11:10:30,HF,RandomForest,few+aug,16,1.0,1.0,1.0
2025-09-14T11:10:30,HF,KNN,few,16,0.8125,0.809524,0.809524
2025-09-14T11:10:30,HF,KNN,few+aug,16,0.8125,0.809524,0.809524
2025-09-14T11:10:31,Sig,RandomForest,few,16,1.0,1.0,1.0
2025-09-14T11:10:31,Sig,RandomForest,few+aug,16,1.0,1.0,1.0
2025-09-14T11:10:31,Sig,KNN,few,16,1.0,1.0,1.0
2025-09-14T11:10:31,Sig,KNN,few+aug,16,1.0,1.0,1.0
